NAME,DEC,xs,ys,xe,ye,路段ID,sordernum,eordernum,路段长度,linktype,ramp,mylinktype,限速,speedadj,车道数,tflowmodel,上游路口ID,下游路口ID
斜土路,斜土路（宛平南路至东安路）,121.4426488,31.19350683,121.4478865,31.19639359,1,71,70,671.794,5,0,1,50,15,2,2,71,70
斜土路,斜土路（小木桥路至大木桥路）,121.4539436,31.1987959,121.4573548,31.20009032,2,68,67,411.146,5,0,1,50,15,2,2,68,67
斜土路,斜土路（枫林路至小木桥路）,121.4512215,31.19773751,121.4539436,31.1987959,3,69,68,332.597,5,0,1,50,15,2,2,69,68
零陵路,零陵路（宛平南路至东安路）,121.444305,31.19037156,121.4503023,31.19269272,4,63,64,717.772,5,0,3,30,15,2,2,63,64
斜土路,斜土路（东安路至枫林路）,121.4478865,31.19639359,121.4512215,31.19773751,5,70,69,410.988,5,0,1,50,15,2,2,70,69
零陵路,零陵路（东安路至枫林路）,121.4503023,31.19269272,121.4531141,31.19378507,6,64,65,337.133,5,0,3,30,15,2,2,64,65
东安路,东安路（中山南二路至零陵路）,121.4518231,31.18882991,121.4503023,31.19269272,7,19,64,471.287,5,0,2,40,15,2,2,19,64
东安路,东安路（零陵路至斜土路）,121.4503023,31.19269272,121.4478865,31.19639359,8,64,70,495.852,5,0,2,40,15,2,2,64,70
东安路,东安路（斜土路至零陵路）,121.4478865,31.19639359,121.4503023,31.19269272,9,70,64,502.497,5,0,2,40,15,2,2,70,64
枫林路,枫林路（零陵路至斜土路）,121.4531141,31.19378507,121.4512215,31.19773751,10,65,69,490.182,5,0,3,30,15,2,2,65,69
大木桥路,大木桥路（大木桥茶林至零陵路）,121.4578422,31.19822973,121.4591385,31.19605109,11,8826,66,290.14,5,0,2,40,15,2,2,178,66
零陵路,零陵路（小木桥路至大木桥路）,121.4563164,31.19497015,121.4591385,31.19605109,12,8827,66,339.564,5,0,3,30,15,2,2,179,66
斜土路,斜土路（东安路至宛平南路）,121.4478865,31.19639359,121.4426488,31.19350683,13,70,71,677.493,5,0,1,50,15,2,2,70,71
斜土路,斜土路（大木桥路至小木桥路）,121.4573548,31.20009032,121.4539436,31.1987959,14,67,68,413.511,5,0,1,50,15,2,2,67,68
