起点,终点,车道数
2,1,6
72,1,2
323,1,4
229,1,3
139,2,3
228,2,1
3,2,4
1,2,4
2,3,3
4,3,3
251,3,2
5,4,4
3,4,3
16,4,4
243,4,4
4,5,3
86,5,1
315,5,3
6,5,5
30,5,1
186,6,1
188,6,3
310,6,5
86,6,1
28,7,3
29,7,2
220,7,4
188,7,5
215,8,3
211,8,1
220,8,3
248,8,4
109,9,3
308,9,5
174,9,5
249,9,2
306,10,5
94,10,3
97,10,2
174,10,5
303,11,3
305,11,3
104,11,2
207,12,3
301,12,3
299,12,3
206,12,3
222,13,1
311,13,4
191,13,3
314,13,5
244,14,3
76,14,3
189,14,3
190,14,4
243,15,4
242,15,1
250,15,1
240,15,4
317,16,2
4,16,4
31,16,3
368,16,1
225,17,3
61,17,1
62,17,3
16,17,4
319,18,4
58,18,4
225,18,4
180,19,3
176,19,3
64,19,2
57,19,3
56,20,1
21,20,3
65,20,1
180,20,3
22,21,3
20,21,3
235,21,1
179,21,2
66,22,2
21,22,3
320,22,2
295,23,3
344,23,5
24,23,4
256,23,3
257,24,2
23,24,2
196,24,2
192,24,1
257,25,3
106,25,2
164,25,2
83,26,3
169,26,2
164,26,2
27,26,2
84,27,1
163,27,2
26,27,2
167,27,1
221,28,1
163,28,2
7,28,3
85,28,1
213,29,2
86,29,1
7,29,2
165,29,2
31,30,4
32,30,3
165,30,4
162,30,3
61,31,1
316,31,5
30,31,4
258,32,3
33,32,4
53,32,2
30,32,3
338,33,1
34,33,4
32,33,4
279,34,2
369,34,1
181,34,4
33,34,4
284,35,4
285,35,4
98,35,1
37,36,4
261,36,1
182,36,4
36,37,4
38,37,3
41,37,1
357,38,2
37,38,3
282,38,2
39,38,3
358,39,1
40,39,2
38,39,3
359,39,2
360,40,2
361,40,1
39,40,2
335,40,2
347,41,2
42,41,1
37,41,1
336,41,1
41,42,1
261,42,1
348,42,1
44,43,2
252,43,2
341,43,2
56,43,1
246,44,2
43,44,2
234,44,1
237,45,2
46,45,2
50,45,2
51,46,1
47,46,2
45,46,2
46,47,2
48,47,2
52,47,2
340,48,2
47,48,2
53,48,1
276,49,2
281,49,1
286,49,2
51,50,2
45,50,2
230,50,2
253,50,2
52,51,2
50,51,2
342,51,1
46,51,1
53,52,2
47,52,2
339,52,2
51,52,2
54,53,2
48,53,1
32,53,2
52,53,2
53,54,2
337,54,1
247,54,2
87,55,1
269,55,1
271,55,1
43,56,1
20,56,1
235,56,2
177,56,2
175,57,2
172,57,3
177,57,2
19,57,3
226,58,3
59,58,2
175,58,2
173,59,1
236,59,3
58,59,2
162,60,2
61,60,1
226,60,2
253,60,1
60,61,2
17,61,1
31,61,1
238,62,1
231,62,3
17,62,1
251,62,3
18,63,4
238,63,2
70,64,3
63,64,1
19,64,2
20,65,1
64,65,1
22,66,2
178,66,1
327,66,1
179,66,2
330,67,2
329,67,2
68,67,2
178,67,1
69,68,2
67,68,2
332,68,2
68,69,2
70,69,2
65,69,2
64,70,1
69,70,2
334,70,2
71,70,2
232,71,2
63,71,4
70,71,2
232,72,2
1,72,2
324,72,2
245,73,4
325,73,1
326,73,4
